title,store,description,percent,dateValid,restrictions,activated
ממגוון מעדן גבינה 88-103 גרם,דניאלה,"ממגוון מעדן גבינה 88-103 גרם , דניאלה",8 יח ב- 26₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
ממגוון משקה חלב 1 ליטר,יטבתה,"ממגוון משקה חלב 1 ליטר , יטבתה",2 יח ב- 19.90₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
משקה שיבולת שועל 1 ליטר,,משקה שיבולת שועל 1 ליטר,2 יח' ב- 22₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
"ממגוון דנונה אקטיביה 8 * 150 מ""ל אקטיביה",,"ממגוון דנונה אקטיביה 8 * 150 מ""ל אקטיביה",ב- 17.90₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
נייר טואלט לילי לבן מגה רול 18 גלילים,,נייר טואלט לילי לבן מגה רול 18 גלילים,ב- 29.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון משקה דנונה 267 גרם,,ממגוון משקה דנונה 267 גרם,4 יח ב- 18₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון גרעיני תירס מתוק/לייט 3*165גרם יכין,,ממגוון גרעיני תירס מתוק/לייט 3*165גרם יכין,ב- 10₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
"ממגוון בירה ויינשטפן 500 מ""ל",,"ממגוון בירה ויינשטפן 500 מ""ל",2 יח ב- 20₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
אל סבון קמיל בלו קלאסיק 1 ליטר,,אל סבון קמיל בלו קלאסיק 1 ליטר,ב- 16.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
שעועית ירוקה שלמה מוקפאת 800 גרם,,שעועית ירוקה שלמה מוקפאת 800 גרם,ב- 11.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
מלווח מעדנות 700 גרם (6 יח),,מלווח מעדנות 700 גרם (6 יח),2 יח ב- 25₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון לקטים לבישול סנפרוסט,,ממגוון לקטים לבישול סנפרוסט,ב- 12.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
"ממגוון סבון ידיים נוזלי 300 מ""ל פלמוליב",,"ממגוון סבון ידיים נוזלי 300 מ""ל פלמוליב",ב- 6.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון גלידה קרמיסימו 1.33 ליטר שטראוס,,ממגוון גלידה קרמיסימו 1.33 ליטר שטראוס,ב- 16.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
שלגוני שרבט בצורת מכונית 204 גרם,,שלגוני שרבט בצורת מכונית 204 גרם,ב- 12.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
לאבנה 5% 250 גרם,,לאבנה 5% 250 גרם,2 יח' ב- 20₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון פיניש גל למדיח 1 ליטר פיניש,,ממגוון פיניש גל למדיח 1 ליטר פיניש,ב- 29.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
"רוטב צ'ילי מתוק 700 מ""ל",,"רוטב צ'ילי מתוק 700 מ""ל",ב- 8.9₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
גבינה צהובה קלאסית28% נעם 200 גרם,,גבינה צהובה קלאסית28% נעם 200 גרם,ב- 14.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
